Centroid,  Net_Area,   Net_Area,      Peak, FWHM,   FWHM,Reduced, ROI_Total,ROI, File,         ,     ,     , Nuclide, Photopeak_Energy, ROI_Lower_Energy, ROI_Upper_Energy, Color, User_Label, Continuum_Type, Skew_Type, Continuum_Coefficients, Skew_Coefficients
     keV,    Counts,Uncertainty,       CPS,  keV,Percent,Chi_Sqr,    Counts,ID#, Name, LiveTime, Date, Time,        ,              keV,              keV,              keV, (css),           ,               ,          ,                       ,                  
  244.30,  182464.9,  930.9    ,1.0137e+002,25.86, 10.58%,   1.36,  912748.1,  1,  ,1800.000,16-Feb-2026,10:28:13,Eu152,244.70,195.084,282.767,#00b9ff,,Linear,NoSkew,195.084 8503.987 -4.067578,
  344.58,  730396.1,  2170.0   ,4.0578e+002,31.63,  9.18%,   1.17,  1994214.0,  2,  ,1800.000,16-Feb-2026,10:28:13,Eu152,344.28,282.501,502.223,#00b9ff,,Quardratic,NoSkew,282.501 8572.441 -46.09076 0.1103006,
  415.32,   46790.4,  4685.0   ,2.5995e+001,32.07,  7.72%,   1.17,  1994214.0,  3,  ,1800.000,16-Feb-2026,10:28:13,Eu152,411.12,282.501,502.223,#00b9ff,,Quardratic,NoSkew,282.501 8572.441 -46.09076 0.1103006,
  445.22,   55279.7,  3981.4   ,3.0711e+001,31.79,  7.14%,   1.17,  1994214.0,  4,  ,1800.000,16-Feb-2026,10:28:13,Eu152,443.96,282.501,502.223,#00b9ff,,Quardratic,NoSkew,282.501 8572.441 -46.09076 0.1103006,
  779.85,  193650.2,  879.2    ,1.0758e+002,50.69,  6.50%,   0.98,  991605.9,  5,  ,1800.000,16-Feb-2026,10:28:13,Eu152,778.90,711.772,1034.73,#00b9ff,,Quardratic,NoSkew,711.772 2625.768 -6.341384 0.006077651,
  863.84,   51150.1,  816.0    ,2.8417e+001,52.49,  6.08%,   0.98,  991605.9,  6,  ,1800.000,16-Feb-2026,10:28:13,Eu152,867.38,711.772,1034.73,#00b9ff,,Quardratic,NoSkew,711.772 2625.768 -6.341384 0.006077651,
  965.23,  160855.5,  772.4    ,8.9364e+001,54.77,  5.67%,   0.98,  991605.9,  7,  ,1800.000,16-Feb-2026,10:28:13,Eu152,964.08,711.772,1034.73,#00b9ff,,Quardratic,NoSkew,711.772 2625.768 -6.341384 0.006077651,
