Centroid,  Net_Area,   Net_Area,      Peak, FWHM,   FWHM,Reduced, ROI_Total,ROI, File,         ,     ,     , Nuclide, Photopeak_Energy, ROI_Lower_Energy, ROI_Upper_Energy, Color, User_Label, Continuum_Type, Skew_Type, Continuum_Coefficients, Skew_Coefficients
     keV,    Counts,Uncertainty,       CPS,  keV,Percent,Chi_Sqr,    Counts,ID#, Name, LiveTime, Date, Time,        ,              keV,              keV,              keV, (css),           ,               ,          ,                       ,                  
  121.95, 1361344.4,  1631.0   ,7.5630e+002,14.20, 11.65%,   4.53,  2133946.1,  1,  ,1800.000,16-Feb-2026,09:55:24,Eu152,121.78,101.884,144.175,#00B9FF,,Linear,NoSkew,101.884 23665.14 -255.2824,
  244.46,  391497.5,  1431.4   ,2.1750e+002,24.54, 10.04%,   1.11,  1038138.9,  2,  ,1800.000,16-Feb-2026,09:55:24,Eu152,244.70,215.879,271.384,#00B9FF,,Linear,NoSkew,215.879 12704.63 -36.08211,
  344.11, 1032802.0,  1478.4   ,5.7378e+002,31.11,  9.04%,   1.40,  1747985.3,  3,  ,1800.000,16-Feb-2026,09:55:24,Eu152,344.28,294.306,385.98,#00B9FF,,Linear,NoSkew,294.306 9825.559 -44.00526,
  414.78,   36570.2,  5527.4   ,2.0317e+001,27.39,  6.60%,   1.16,  578779.9,  4,  ,1800.000,16-Feb-2026,09:55:24,Eu152,411.12,385.94,482.895,#00B9FF,,Linear,NoSkew,385.94 5906.673 -19.05896,
  443.38,   59301.5,  4720.5   ,3.2945e+001,31.59,  7.13%,   1.16,  578779.9,  5,  ,1800.000,16-Feb-2026,09:55:24,Eu152,443.96,385.94,482.895,#00B9FF,,Linear,NoSkew,385.94 5906.673 -19.05896,
  779.78,  234559.2,  1050.1   ,1.3031e+002,56.39,  7.23%,   1.58,  1014003.0,  6,  ,1800.000,16-Feb-2026,09:55:24,Eu152,778.90,717.715,1026.34,#00B9FF,,Quardratic,NoSkew,717.715 2709.872 -9.905238 0.0172951,
  865.78,   70605.9,  949.0    ,3.9226e+001,56.24,  6.50%,   1.58,  1014003.0,  7,  ,1800.000,16-Feb-2026,09:55:24,Eu152,867.38,717.715,1026.34,#00B9FF,,Quardratic,NoSkew,717.715 2709.872 -9.905238 0.0172951,
  964.43,  175600.0,  876.9    ,9.7556e+001,56.07,  5.81%,   1.58,  1014003.0,  8,  ,1800.000,16-Feb-2026,09:55:24,Eu152,964.08,717.715,1026.34,#00B9FF,,Quardratic,NoSkew,717.715 2709.872 -9.905238 0.0172951,
