Centroid,  Net_Area,   Net_Area,      Peak, FWHM,   FWHM,Reduced, ROI_Total,ROI, File,         ,     ,     , Nuclide, Photopeak_Energy, ROI_Lower_Energy, ROI_Upper_Energy, Color, User_Label, Continuum_Type, Skew_Type, Continuum_Coefficients, Skew_Coefficients
     keV,    Counts,Uncertainty,       CPS,  keV,Percent,Chi_Sqr,    Counts,ID#, Name, LiveTime, Date, Time,        ,              keV,              keV,              keV, (css),           ,               ,          ,                       ,                  
  121.63, 1804091.6,  2483.9   ,1.0023e+003,14.05, 11.55%,   2.29,  2957686.2,  1,  ,1800.000,11-Feb-2026,10:26:44,Eu152,121.78,97.3186,148.809,#C0C0C0,,Cubic,NoSkew,97.3186 28740.96 -1.021254 -12.17574 0.1304309,
  244.75,  434307.0,  1513.3   ,2.4128e+002,24.21,  9.89%,   1.08,  1063063.4,  2,  ,1800.000,11-Feb-2026,10:26:44,Eu152,244.70,217.621,270.229,#C0C0C0,,Linear,NoSkew,217.621 12811.15 -29.40566,
  344.85, 1227262.7,  9512.7   ,6.8181e+002,31.89,  9.25%,   1.29,  1821824.9,  3,  ,1800.000,11-Feb-2026,10:26:44,Eu152,344.28,304.143,389.272,#C0C0C0,,Quardratic,NoSkew,304.143 9297.358 -90.02456 0.6385148,
  779.29,  202366.7,  925.4    ,1.1243e+002,47.72,  6.12%,   1.05,  532689.6,  4,  ,1800.000,11-Feb-2026,10:26:44,Eu152,778.90,717.759,836.621,#C0C0C0,,Linear,NoSkew,717.759 2971.58 -3.176532,
  966.02,  174076.3,  849.4    ,9.6709e+001,54.95,  5.69%,   1.09,  369861.4,  5,  ,1800.000,11-Feb-2026,10:26:44,Eu152,964.08,903.614,1028.1,#C0C0C0,,Linear,NoSkew,903.614 1875.309 -4.726934,
