Centroid,  Net_Area,   Net_Area,      Peak, FWHM,   FWHM,Reduced, ROI_Total,ROI, File,         ,     ,     , Nuclide, Photopeak_Energy, ROI_Lower_Energy, ROI_Upper_Energy, Color, User_Label, Continuum_Type, Skew_Type, Continuum_Coefficients, Skew_Coefficients
     keV,    Counts,Uncertainty,       CPS,  keV,Percent,Chi_Sqr,    Counts,ID#, Name, LiveTime, Date, Time,        ,              keV,              keV,              keV, (css),           ,               ,          ,                       ,                  
  121.53,   95580.8,  4273.0   ,5.3100e+001,14.01, 11.53%,   1.13,  466082.8,  1,  ,1800.000,25-Feb-2026,10:03:58,Eu152,121.78,98.4502,140.713,#00B9FF,,Cubic,NoSkew,98.4502 9637.596 48.77038 -6.596095 0.1073272,
  244.68,  271034.2,  1117.7   ,1.5057e+002,24.54, 10.03%,   1.11,  810011.4,  2,  ,1800.000,25-Feb-2026,10:03:58,Eu152,244.70,210.901,273.386,#00B9FF,,Linear,NoSkew,210.901 9309.851 -21.50546,
  344.83,  972021.7,  7592.9   ,5.4001e+002,32.28,  9.36%,   1.15,  1448826.8,  3,  ,1800.000,25-Feb-2026,10:03:58,Eu152,344.28,300.347,390.374,#00B9FF,,Quardratic,NoSkew,300.347 7375.174 -83.45568 0.6238621,
  778.26,  186293.8,  931.6    ,1.0350e+002,48.05,  6.17%,   1.05,  486690.7,  4,  ,1800.000,25-Feb-2026,10:03:58,Eu152,778.90,721.303,834.939,#00B9FF,,Linear,NoSkew,721.303 2823.392 -3.057589,
  964.44,  168965.0,  904.1    ,9.3869e+001,55.54,  5.76%,   1.33,  337930.4,  5,  ,1800.000,25-Feb-2026,10:03:58,Eu152,964.08,900.923,1017.34,#00B9FF,,Linear,NoSkew,900.922 1792.258 -5.501596,
